id;own_name;receiver_name;data;date;type;status
1;withdrawal Costa plum;systemic;info-mediaries magnetic envisioneer;81051;MISSED;INACTIVE
2;Direct paradigm Franc;client-driven;back;66283;OUT;ACTIVE
3;neutral index moratorium;Fork;24 green Bahraini;96082;DRARF;DUPLICATE
4;capacitor Tugrik;Director program Visionary;scale Chips;12770;OUT;CLOSE
5;program Ford Pass;Isle Credit Oklahoma;Belize;88124;OUT;ACTIVE
6;Refined;Handcrafted;payment purple Principal;57767;MISSED;CLOSE
7;transmit Manager target;Orchestrator conglomeration Pizza;Account Corporate PCI;14948;DRARF;INACTIVE
8;Loan Security feed;Latvia;Chair synergistic deposit;14381;MISSED;OPEN
9;Kenya;application Avon;Computer Salad;23029;OUT;ACTIVE
10;blockchains state Alaska;concept;Table Convertible firewall;16357;IN;DUPLICATE
