id;transaction_state;user_id;total_value;error_msq;created;created_by
1;BUY;15899;5440;Corporate;34641;Ball executive Account
2;PAYMENT;97411;64942;e-services Mission Pizza;60500;Kyrgyzstan Versatile Concrete
3;BUY;37398;40836;Licensed plum Grocery;50811;Executive 24/365
4;BUY;72472;72009;payment;14943;District red
5;BUY;75828;91130;programming bypass revolutionary;36603;drive Síp
6;PAYMENT;7155;23171;Franc Re-engineered withdrawal;49340;Beauty Profit-focused
7;BUY;11645;88885;Toys;76894;Brunei
8;PAYMENT;45237;25159;set;54367;Pants
9;PAYMENT;20933;64950;Home;40418;challenge
10;PAYMENT;90691;64784;Đạo;51391;Cloned
