id;balance;created;created_by;modified;modified_by
1;34474;27611;Technician;24443;Open-architected matrix Table
2;23879;89915;Bike Forward;21960;Multi-tiered Outdoors
3;54208;73677;back Representative;63605;lavender calculate context-sensitive
4;57699;41846;Director Implemented;83919;Tala optical
5;87400;41035;harness;38405;digital
6;21865;89942;bypass redundant primary;77572;foreground
7;97426;16463;intranet;85152;Carolina
8;82869;74762;Account Bedfordshire Consultant;48005;improvement Mississippi Tanzania
9;96408;75018;Hat Bedfordshire;43993;empower cutting-edge Health
10;49549;63574;Terrace Music;83227;override IB Chair
